browser,date_watched,video_title,video_url
brave,2025-03-27,"(573) Trump, Zelensky meeting turns to shouting match - YouTube",https://www.youtube.com/watch?v=CIEZEvx1HfU
brave,2025-03-27,"(573) Trump, Zelensky meeting: FULL fiery exchange at White House - YouTube",https://www.youtube.com/watch?v=hZrYHvE8mcM
chrome,2025-03-27,The World's Highest Security Prison: CECOT (The most evil are kept here) - YouTube,https://www.youtube.com/watch?v=H42zWaD4A4s
chrome,2025-03-27,'Worst of the worst': Go inside El Salvador’s fortress prison for gang members - YouTube,https://www.youtube.com/watch?v=E-Oz14D5sz0
chrome,2025-03-27,The Price of El Salvador's War on Gangs - YouTube,https://www.youtube.com/watch?v=mtLiQnXC7sQ
chrome,2025-03-27,SUNRISERS HYDERABAD VS LUCKNOW SUPER GIANTS IPL 2025 MATCH 7 HIGHLIGHTS | SRH VS LSG HIGHLIGHTS 2025 - YouTube,https://www.youtube.com/watch?v=jkkJ9xv4vno
brave,2025-03-27,(573) Full argument: Trump-Zelensky White House meeting descends into shouting match - YouTube,https://www.youtube.com/watch?v=v_kTNIYsFnQ
chrome,2024-03-22,NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4039 | 22 Mar 2024 | Teaser - YouTube,https://www.youtube.com/watch?v=adby9jGMoxY
chrome,2024-03-22,How to Create a Portfolio Website for Data Science👩🏻‍💻 | Stackbit + Netlify - YouTube,https://www.youtube.com/watch?v=OEVNDRZxgz8
chrome,2024-03-22,How to Make a Data Science Portfolio With GitHub Pages (2024) - YouTube,https://www.youtube.com/watch?v=D9CLhQdLp8w
chrome,2024-03-21,She Scored $300000 Salary After Masters During Recession - YouTube,https://www.youtube.com/watch?v=vDVO0WM0abE
chrome,2024-03-21,Arvind Kejriwal Arrested: Anti-Corruption Crusader Faces Corruption Charges - YouTube,https://www.youtube.com/watch?v=D7K72klxsD8
chrome,2024-03-21,LIVE: ED Arrests Arvind Kejriwal | Arvind Kejriwal In ED Custody | India Today LIVE - YouTube,https://www.youtube.com/watch?v=bwqpkpx3kdc
chrome,2024-03-21,LIVE: Delhi CM Arvind Kejriwal Arrested After Dodging 9 ED Summons | BREAKING NEWS - YouTube,https://www.youtube.com/watch?v=uGOvwWn1SVw
chrome,2024-03-21,Delhi CM Arvind Kejriwal to be arrested in next 3-4 days? faces arrest in Excise scam case? | WION - YouTube,https://www.youtube.com/watch?v=59FbB-43M-8&list=RDNS59FbB-43M-8&start_radio=1
chrome,2024-03-21,Aaj Tak LIVE TV: ED Arrested CM Kejriwal | AAP Vs BJP | Lok Sabha Elections 2024 | Rahul Gandhi - YouTube,https://www.youtube.com/watch?v=Nq2wYlWFucg
chrome,2024-03-21,India: Delhi CM Arvind Kejriwal Arrested Weeks Ahead of General Election | Vantage with Palki Sharma - YouTube,https://www.youtube.com/watch?v=ByyAMDMq8Ls
chrome,2024-03-19,India Today Conclave 2024: Amit Shah Exclusive Interview On Why 2024 Elections Will Be Historic - YouTube,https://www.youtube.com/watch?v=oWduIYIGkDU&themeRefresh=1
chrome,2024-03-19,India Today Conclave 2024: Amit Shah Exclusive Interview On Why 2024 Elections Will Be Historic - YouTube,https://www.youtube.com/watch?v=oWduIYIGkDU
chrome,2024-03-19,THIS CAR BELONGED TO SIDHU MOOSE WALA ? - YouTube,https://www.youtube.com/watch?v=rk7axL76o5U&t=10s
chrome,2024-03-16,India Today Conclave 2024 LIVE: Brand Bharat At Centre Stage Today At #IndiaTodayConclave24 | Day2 - YouTube,https://www.youtube.com/watch?v=tYIoJq7m7Vc
chrome,2024-03-16,LIVE: Lok Sabha election 2024 | Election Commission of India Announces Polling Dates - YouTube,https://www.youtube.com/watch?v=ODw6RxExB-U
chrome,2024-03-16,Nifty Prediction and Bank Nifty Analysis for Monday | 18 March 24 | Bank Nifty Tomorrow - YouTube,https://www.youtube.com/watch?v=wimjIvibp88
chrome,2024-03-15,Why I'm buying Smallcap stocks (complete Fundamental Analysis) - YouTube,https://www.youtube.com/watch?v=g8pQN--CzCg
chrome,2024-03-15,Ladakh in Danger! | Where is the Media? | Sonam Wangchuk | Dhruv Rathee - YouTube,https://www.youtube.com/watch?v=nV4vZo6A-Ak
chrome,2024-03-14,Mid Cap & Small Caps Quality Check: आपके पास पहले से Mid-Smallcap शेयर हैं तो ये जरूर करें - YouTube,https://www.youtube.com/watch?v=hV-_Hy4m4Vg
